Code,Borough,Names,obesity rate % (age 4-5),obesity rate % (age 10-11)
E05000599,Waltham Forest,High Street,12.0%,23.9%
E05000600,Waltham Forest,Higham Hill,10.6%,27.5%
E05000601,Waltham Forest,Hoe Street,11.8%,24.7%
E05000602,Waltham Forest,Larkswood,13.1%,22.8%
E05000603,Waltham Forest,Lea Bridge,9.8%,21.8%
E05000604,Waltham Forest,Leyton,11.4%,19.5%
E05000605,Waltham Forest,Leytonstone,8.3%,17.4%
E05000606,Waltham Forest,Markhouse,9.6%,25.1%
E05000607,Waltham Forest,Valley,10.9%,20.5%
E05000608,Waltham Forest,William Morris,10.0%,25.1%
E05000609,Waltham Forest,Wood Street,10.0%,21.8%
E05000610,Wandsworth,Balham,4.4%,12.3%
E05000611,Wandsworth,Bedford,7.9%,18.0%
E05000612,Wandsworth,Earlsfield,10.6%,21.9%
E05000613,Wandsworth,East Putney,5.2%,11.8%
E05000614,Wandsworth,Fairfield,9.1%,21.3%
E05000615,Wandsworth,Furzedown,8.7%,20.0%
E05000616,Wandsworth,Graveney,12.7%,21.2%
E05000617,Wandsworth,Latchmere,15.8%,27.1%
E05000618,Wandsworth,Nightingale,4.3%,18.5%
E05000619,Wandsworth,Northcote,4.0%,10.4%
E05000620,Wandsworth,Queenstown,13.3%,25.6%
E05000621,Wandsworth,Roehampton and Putney Heath,14.5%,22.2%
E05000622,Wandsworth,St Mary's Park,11.6%,23.8%
E05000623,Wandsworth,Shaftesbury,8.8%,26.6%
E05000624,Wandsworth,Southfields,7.6%,17.3%
E05000625,Wandsworth,Thamesfield,4.0%,11.7%
E05000626,Wandsworth,Tooting,11.0%,21.0%
E05000627,Wandsworth,Wandsworth Common,8.9%,16.7%
E05000628,Wandsworth,West Hill,11.5%,18.4%
E05000629,Wandsworth,West Putney,12.0%,21.8%
E05000630,City of Westminster,Abbey Road,9.3%,24.0%
E05000631,City of Westminster,Bayswater,10.5%,20.2%
E05000632,City of Westminster,Bryanston and Dorset Square,11.0%,35.7%
E05000633,City of Westminster,Churchill,13.7%,26.9%
E05000634,City of Westminster,Church Street,13.6%,26.8%
E05000635,City of Westminster,Harrow Road,12.5%,27.3%
E05000636,City of Westminster,Hyde Park,9.5%,15.8%
E05000637,City of Westminster,Knightsbridge and Belgravia,s,s
E05000638,City of Westminster,Lancaster Gate,10.8%,22.1%
E05000639,City of Westminster,Little Venice,11.8%,22.0%
E05000640,City of Westminster,Maida Vale,10.3%,23.7%
E05000641,City of Westminster,Marylebone High Street,11.8%,s
E05000642,City of Westminster,Queen's Park,12.3%,26.8%
E05000643,City of Westminster,Regent's Park,6.3%,21.7%
E05000644,City of Westminster,St James's,11.5%,24.2%
E05000645,City of Westminster,Tachbrook,13.4%,25.7%
E05000646,City of Westminster,Vincent Square,8.2%,22.2%
E05000647,City of Westminster,Warwick,12.0%,21.2%
E05000648,City of Westminster,Westbourne,13.7%,26.6%
E05000649,City of Westminster,West End,s,21.2%
