Code,Borough,Names,obesity rate % (age 4-5),obesity rate % (age 10-11)
E05000558,Sutton,Carshalton Central,6.4%,13.1%
E05000559,Sutton,Carshalton South and Clockhouse,5.9%,14.6%
E05000560,Sutton,Cheam,7.1%,12.5%
E05000561,Sutton,Nonsuch,4.6%,10.7%
E05000562,Sutton,St Helier,11.5%,26.5%
E05000563,Sutton,Stonecot,8.5%,20.3%
E05000564,Sutton,Sutton Central,9.1%,20.6%
E05000565,Sutton,Sutton North,9.5%,20.2%
E05000566,Sutton,Sutton South,8.2%,18.2%
E05000567,Sutton,Sutton West,8.3%,17.2%
E05000568,Sutton,The Wrythe,8.0%,24.0%
E05000569,Sutton,Wallington North,7.2%,15.7%
E05000570,Sutton,Wallington South,8.3%,24.5%
E05000571,Sutton,Wandle Valley,10.0%,22.8%
E05000572,Sutton,Worcester Park,8.0%,18.2%
E05009317,Tower Hamlets,Bethnal Green,13.8%,23.9%
E05009318,Tower Hamlets,Blackwall & Cubitt Town,10.6%,25.3%
E05009319,Tower Hamlets,Bow East,14.3%,24.8%
E05009320,Tower Hamlets,Bow West,10.6%,22.8%
E05009321,Tower Hamlets,Bromley North,12.0%,31.1%
E05009322,Tower Hamlets,Bromley South,12.7%,21.8%
E05009323,Tower Hamlets,Canary Wharf,9.7%,25.5%
E05009324,Tower Hamlets,Island Gardens,8.1%,26.5%
E05009325,Tower Hamlets,Lansbury,12.8%,24.5%
E05009326,Tower Hamlets,Limehouse,11.9%,27.5%
E05009327,Tower Hamlets,Mile End,11.7%,29.6%
E05009328,Tower Hamlets,Poplar,14.3%,25.6%
E05009329,Tower Hamlets,St Dunstan's,11.8%,25.6%
E05009330,Tower Hamlets,St Katharine's & Wapping,9.4%,18.4%
E05009331,Tower Hamlets,St Peter's,15.6%,25.9%
E05009332,Tower Hamlets,Shadwell,16.0%,26.9%
E05009333,Tower Hamlets,Spitalfields & Banglatown,14.2%,24.8%
E05009334,Tower Hamlets,Stepney Green,13.0%,26.6%
E05009335,Tower Hamlets,Weavers,14.7%,27.1%
E05009336,Tower Hamlets,Whitechapel,13.6%,25.2%
E05000590,Waltham Forest,Cann Hall,10.8%,24.0%
E05000591,Waltham Forest,Cathall,11.9%,25.1%
E05000592,Waltham Forest,Chapel End,10.1%,22.7%
E05000593,Waltham Forest,Chingford Green,8.4%,17.8%
E05000594,Waltham Forest,Endlebury,8.9%,19.7%
E05000595,Waltham Forest,Forest,9.4%,22.8%
E05000596,Waltham Forest,Grove Green,10.8%,30.8%
E05000597,Waltham Forest,Hale End and Highams Park,6.9%,19.8%
E05000598,Waltham Forest,Hatch Lane,8.1%,18.1%
E05000599,Waltham Forest,High Street,10.0%,24.4%
E05000600,Waltham Forest,Higham Hill,10.3%,26.8%
E05000601,Waltham Forest,Hoe Street,10.7%,25.7%
E05000602,Waltham Forest,Larkswood,11.2%,20.4%
E05000603,Waltham Forest,Lea Bridge,11.4%,23.6%
E05000604,Waltham Forest,Leyton,13.4%,22.6%
E05000605,Waltham Forest,Leytonstone,9.9%,17.8%
E05000606,Waltham Forest,Markhouse,10.7%,25.0%
E05000607,Waltham Forest,Valley,11.5%,24.2%
E05000608,Waltham Forest,William Morris,11.5%,23.4%
E05000609,Waltham Forest,Wood Street,12.0%,24.4%
E05000610,Wandsworth,Balham,5.5%,15.6%
E05000611,Wandsworth,Bedford,8.2%,16.0%
E05000612,Wandsworth,Earlsfield,9.8%,21.5%
E05000613,Wandsworth,East Putney,7.0%,15.3%
E05000614,Wandsworth,Fairfield,7.5%,21.2%
E05000615,Wandsworth,Furzedown,10.1%,19.0%
E05000616,Wandsworth,Graveney,10.9%,21.8%
E05000617,Wandsworth,Latchmere,13.7%,26.7%
E05000618,Wandsworth,Nightingale,4.1%,19.1%
E05000619,Wandsworth,Northcote,3.4%,8.4%
E05000620,Wandsworth,Queenstown,11.1%,26.0%
E05000621,Wandsworth,Roehampton and Putney Heath,11.8%,21.7%
E05000622,Wandsworth,St Mary's Park,12.7%,24.2%
E05000623,Wandsworth,Shaftesbury,7.8%,24.1%
E05000624,Wandsworth,Southfields,6.6%,16.5%
E05000625,Wandsworth,Thamesfield,4.6%,13.6%
E05000626,Wandsworth,Tooting,10.6%,20.3%
E05000627,Wandsworth,Wandsworth Common,8.6%,17.2%
E05000628,Wandsworth,West Hill,9.6%,20.8%
E05000629,Wandsworth,West Putney,12.4%,20.7%
E05000630,Westminster,Abbey Road,8.5%,23.2%
E05000631,Westminster,Bayswater,9.5%,22.0%
E05000632,Westminster,Bryanston and Dorset Square,12.2%,34.0%
E05000633,Westminster,Churchill,14.6%,26.9%
E05000634,Westminster,Church Street,13.8%,26.2%
E05000635,Westminster,Harrow Road,10.9%,29.4%
E05000636,Westminster,Hyde Park,11.6%,21.4%
E05000637,Westminster,Knightsbridge and Belgravia,s,s
E05000638,Westminster,Lancaster Gate,6.0%,22.8%
E05000639,Westminster,Little Venice,9.1%,21.3%
E05000640,Westminster,Maida Vale,8.5%,25.2%
E05000641,Westminster,Marylebone High Street,10.0%,s
E05000642,Westminster,Queen's Park,11.0%,29.2%
E05000643,Westminster,Regent's Park,7.5%,20.8%
E05000644,Westminster,St James's,12.6%,26.1%
E05000645,Westminster,Tachbrook,13.1%,32.0%
E05000646,Westminster,Vincent Square,10.0%,24.8%
E05000647,Westminster,Warwick,13.5%,25.2%
E05000648,Westminster,Westbourne,11.7%,26.6%
E05000649,Westminster,West End,s,23.9%
